Parameter

Number of Groups
M=200

Number of Clients
N=1000

Clients for each Groups
k=5

Number of Attackers
num=400

algorithm:FedAvg
dataset:MNIST

number of clients:1000
number of groups:200
clients for each group:5

learning rate:0.001
batch size:32
global iteration:200
local iteration:5

model:CNN

layer:
Input:28 x 28 x 1
Convolution + ReLU : 3 x 3 x 30
Max Pooling : 2 x 2
Convolution + ReLU : 3 x 3 x 50
Max Pooling : 2 x 2
Fully Connected + ReLU : 100
Softmax : 10


Group 1 /Main accuracy:0.10620842572062084 /Target accuracy:0.0
Group 2 /Main accuracy:0.9694013303769401 /Target accuracy:0.9877551020408163
Group 3 /Main accuracy:0.9786031042128603 /Target accuracy:0.686734693877551
Group 4 /Main accuracy:0.923059866962306 /Target accuracy:0.03469387755102041
Group 5 /Main accuracy:0.829490022172949 /Target accuracy:0.03979591836734694
Group 6 /Main accuracy:0.9661862527716186 /Target accuracy:0.2642857142857143
Group 7 /Main accuracy:0.9776053215077606 /Target accuracy:0.3346938775510204
Group 8 /Main accuracy:0.9741685144124168 /Target accuracy:0.6908163265306122
Group 9 /Main accuracy:0.9746119733924612 /Target accuracy:0.6989795918367347
Group 10 /Main accuracy:0.6349223946784922 /Target accuracy:0.0
Group 11 /Main accuracy:0.9728381374722838 /Target accuracy:0.0
Group 12 /Main accuracy:0.9636363636363636 /Target accuracy:0.16428571428571428
Group 13 /Main accuracy:0.9725055432372506 /Target accuracy:0.6632653061224489
Group 14 /Main accuracy:0.12583148558758314 /Target accuracy:0.0
Group 15 /Main accuracy:0.9697339246119734 /Target accuracy:0.9826530612244898
Group 16 /Main accuracy:0.8703991130820399 /Target accuracy:0.006122448979591836
Group 17 /Main accuracy:0.9655210643015522 /Target accuracy:0.19081632653061226
Group 18 /Main accuracy:0.9715077605321508 /Target accuracy:0.01020408163265306
Group 19 /Main accuracy:0.12583148558758314 /Target accuracy:0.0
Group 20 /Main accuracy:0.9655210643015522 /Target accuracy:0.9887755102040816
Group 21 /Main accuracy:0.9740576496674057 /Target accuracy:0.0
Group 22 /Main accuracy:0.12583148558758314 /Target accuracy:0.0
Group 23 /Main accuracy:0.9670731707317073 /Target accuracy:0.24081632653061225
Group 24 /Main accuracy:0.9771618625277162 /Target accuracy:0.35306122448979593
Group 25 /Main accuracy:0.10620842572062084 /Target accuracy:0.0
Group 26 /Main accuracy:0.10620842572062084 /Target accuracy:0.0
Group 27 /Main accuracy:0.12583148558758314 /Target accuracy:0.0
Group 28 /Main accuracy:0.12583148558758314 /Target accuracy:0.0
Group 29 /Main accuracy:0.9399113082039912 /Target accuracy:0.7602040816326531
Group 30 /Main accuracy:0.964079822616408 /Target accuracy:0.19795918367346937
Group 31 /Main accuracy:0.969179600886918 /Target accuracy:0.986734693877551
Group 32 /Main accuracy:0.12583148558758314 /Target accuracy:0.0
Group 33 /Main accuracy:0.9711751662971175 /Target accuracy:0.02959183673469388
Group 34 /Main accuracy:0.9739467849223947 /Target accuracy:0.0
