Parameter

Number of Groups
M=200

Number of Clients
N=1000

Clients for each Groups
k=5

algorithm:FedAvg
dataset:MNIST

number of clients:1000
number of groups:200
clients for each group:5

learning rate:0.001
batch size:32
global iteration:200
local iteration:5

model:CNN

layer:
Input:28 x 28 x 1
Convolution + ReLU : 3 x 3 x 30
Max Pooling : 2 x 2
Convolution + ReLU : 3 x 3 x 50
Max Pooling : 2 x 2
Fully Connected + ReLU : 100
Softmax : 10


Group 1 /Main accuracy:0.9682926829268292 /Target accuracy:0.9836734693877551
Group 2 /Main accuracy:0.9694013303769401 /Target accuracy:0.9877551020408163
Group 3 /Main accuracy:0.9674057649667406 /Target accuracy:0.23775510204081632
Group 4 /Main accuracy:0.9759423503325942 /Target accuracy:0.4306122448979592
Group 5 /Main accuracy:0.9674057649667406 /Target accuracy:0.45816326530612245
Group 6 /Main accuracy:0.9661862527716186 /Target accuracy:0.2642857142857143
Group 7 /Main accuracy:0.9669623059866962 /Target accuracy:0.9918367346938776
Group 8 /Main accuracy:0.9679600886917961 /Target accuracy:0.9887755102040816
Group 9 /Main accuracy:0.9679600886917961 /Target accuracy:0.45714285714285713
Group 10 /Main accuracy:0.9677383592017739 /Target accuracy:0.9857142857142858
Group 11 /Main accuracy:0.97039911308204 /Target accuracy:0.3408163265306122
Group 12 /Main accuracy:0.967849223946785 /Target accuracy:0.986734693877551
Group 13 /Main accuracy:0.9662971175166297 /Target accuracy:0.9877551020408163
Group 14 /Main accuracy:0.9735033259423503 /Target accuracy:0.6979591836734694
Group 15 /Main accuracy:0.9697339246119734 /Target accuracy:0.9826530612244898
Group 16 /Main accuracy:0.9726164079822617 /Target accuracy:0.4418367346938776
Group 17 /Main accuracy:0.9655210643015522 /Target accuracy:0.19081632653061226
Group 18 /Main accuracy:0.9625277161862528 /Target accuracy:0.22551020408163266
Group 19 /Main accuracy:0.9643015521064302 /Target accuracy:0.22551020408163266
Group 20 /Main accuracy:0.9655210643015522 /Target accuracy:0.9887755102040816
Group 21 /Main accuracy:0.9669623059866962 /Target accuracy:0.5091836734693878
Group 22 /Main accuracy:0.9760532150776053 /Target accuracy:0.0
Group 23 /Main accuracy:0.9688470066518847 /Target accuracy:0.9846938775510204
Group 24 /Main accuracy:0.9695121951219512 /Target accuracy:0.9846938775510204
Group 25 /Main accuracy:0.9641906873614191 /Target accuracy:0.29489795918367345
Group 26 /Main accuracy:0.9570953436807096 /Target accuracy:0.8959183673469387
Group 27 /Main accuracy:0.9694013303769401 /Target accuracy:0.9887755102040816
Group 28 /Main accuracy:0.9672949002217295 /Target accuracy:0.9846938775510204
Group 29 /Main accuracy:0.9636363636363636 /Target accuracy:0.19183673469387755
Group 30 /Main accuracy:0.967849223946785 /Target accuracy:0.986734693877551
Group 31 /Main accuracy:0.969179600886918 /Target accuracy:0.986734693877551
Group 32 /Main accuracy:0.967849223946785 /Target accuracy:0.33979591836734696
Group 33 /Main accuracy:0.9700665188470067 /Target accuracy:0.9836734693877551
